3240,Veterinary technicians and assistants,324,Manufacture of games and toys,32,Other manufacturing,C,Manufacturing
3240,Veterinary technicians and assistants,324,Manufacture of games and toys,32,Health associate professionals,3,Equipment
3240,Veterinary technicians and assistants,324,Manufacture of games and toys,32,Health associate professionals,3,Technicians and associate professionals
3240,Veterinary technicians and assistants,324,Manufacture of games and toys,32,Lifting and handling equipment,3,Equipment
3240,Veterinary technicians and assistants,324,Manufacture of games and toys,32,Lifting and handling equipment,3,Technicians and associate professionals
2651,Visual artists,265,Creative and performing artists,26,"Legal, social and cultural professionals",2,Machines
2651,Visual artists,265,Creative and performing artists,26,"Legal, social and cultural professionals",2,Professionals
2651,Visual artists,265,Creative and performing artists,26,"Manufacture of computer, electronic and optical products",C,Manufacturing
2651,Visual artists,265,"Manufacture of measuring, testing, navigating and control equipment; watches and clocks",26,"Legal, social and cultural professionals",2,Machines
2651,Visual artists,265,"Manufacture of measuring, testing, navigating and control equipment; watches and clocks",26,"Legal, social and cultural professionals",2,Professionals
2651,Visual artists,265,"Manufacture of measuring, testing, navigating and control equipment; watches and clocks",26,"Manufacture of computer, electronic and optical products",C,Manufacturing
5131,Waiters,513,Waiters and bartenders,51,Air transport,"H ",Transportation and storage
5131,Waiters,513,Waiters and bartenders,51,Personal Services,5,Service and sales workers
9624,Water and firewood collectors,962,Other elementary workers,96,Other personal service activities,S,Other service activities
9624,Water and firewood collectors,962,Other elementary workers,96,Refuse workers and other elementary workers,9,Elementary occupations
7212,Welders and flame cutters,721,Research and experimental development on natural sciences and engineering,72,"Metal, machinery and related trades workers",7,Craft and related trades workers
7212,Welders and flame cutters,721,Research and experimental development on natural sciences and engineering,72,Scientific research and development,M,"Professional, scientific and technical activities"
7212,Welders and flame cutters,721,"Sheet and structural metal workers, molders and welders, and related workers",72,"Metal, machinery and related trades workers",7,Craft and related trades workers
7212,Welders and flame cutters,721,"Sheet and structural metal workers, molders and welders, and related workers",72,Scientific research and development,M,"Professional, scientific and technical activities"
8113,Well drillers and borers and related workers,811,Mining and mineral processing plant operators,81,Services to buildings and landscape activities,N,Administrative and support service activities
8113,Well drillers and borers and related workers,811,Mining and mineral processing plant operators,81,Stationary plant and machine operators,8,"Plant and machine operators, and assemblers"
8113,Well drillers and borers and related workers,811,Combined facilities support activities,81,Services to buildings and landscape activities,N,Administrative and support service activities
8113,Well drillers and borers and related workers,811,Combined facilities support activities,81,Stationary plant and machine operators,8,"Plant and machine operators, and assemblers"
9123,Window cleaners,912,"Vehicle, window, laundry and other hand cleaning workers",91,Cleaners and helpers,9,Elementary occupations
9123,Window cleaners,912,"Vehicle, window, laundry and other hand cleaning workers",91,"Libraries, archives, museums and other cultural activities",R,"Arts, entertainment and recreation"
8172,Wood processing plant operators,817,Wood processing and papermaking plant operators,81,Services to buildings and landscape activities,N,Administrative and support service activities
8172,Wood processing plant operators,817,Wood processing and papermaking plant operators,81,Stationary plant and machine operators,8,"Plant and machine operators, and assemblers"
7521,Wood treaters,752,"Wood treaters, cabinet-makers and related trades workers",75,"Food processing, wood working, garment and other craft and related trades workers",7,Craft and related trades workers
7521,Wood treaters,752,"Wood treaters, cabinet-makers and related trades workers",75,Veterinary activities,M,"Professional, scientific and technical activities"
2310,"Agriculture (tractors, threshers, etc.)",231,University and higher education teachers,23,Manufacture of other non-metallic mineral products,C,Manufacturing
2310,"Agriculture (tractors, threshers, etc.)",231,University and higher education teachers,23,Teaching professionals,2,Machines
2310,"Agriculture (tractors, threshers, etc.)",231,University and higher education teachers,23,Teaching professionals,2,Professionals
2310,"Agriculture (tractors, threshers, etc.)",231,University and higher education teachers,23,Vehicles used for …,2,Machines
2310,"Agriculture (tractors, threshers, etc.)",231,University and higher education teachers,23,Vehicles used for …,2,Professionals
2310,"Agriculture (tractors, threshers, etc.)",231,Manufacture of glass and glass products,23,Manufacture of other non-metallic mineral products,C,Manufacturing
2310,"Agriculture (tractors, threshers, etc.)",231,Manufacture of glass and glass products,23,Teaching professionals,2,Machines
2310,"Agriculture (tractors, threshers, etc.)",231,Manufacture of glass and glass products,23,Teaching professionals,2,Professionals
2310,"Agriculture (tractors, threshers, etc.)",231,Manufacture of glass and glass products,23,Vehicles used for …,2,Machines
2310,"Agriculture (tractors, threshers, etc.)",231,Manufacture of glass and glass products,23,Vehicles used for …,2,Professionals
2310,"Agriculture (tractors, threshers, etc.)",231,"Agriculture (tractors, threshers, etc.)",23,Manufacture of other non-metallic mineral products,C,Manufacturing
2310,"Agriculture (tractors, threshers, etc.)",231,"Agriculture (tractors, threshers, etc.)",23,Teaching professionals,2,Machines
2310,"Agriculture (tractors, threshers, etc.)",231,"Agriculture (tractors, threshers, etc.)",23,Teaching professionals,2,Professionals
2310,"Agriculture (tractors, threshers, etc.)",231,"Agriculture (tractors, threshers, etc.)",23,Vehicles used for …,2,Machines
2310,"Agriculture (tractors, threshers, etc.)",231,"Agriculture (tractors, threshers, etc.)",23,Vehicles used for …,2,Professionals
2260,"Crushing, splitting of stone",226,Other health professionals,22,Manufacture of rubber and plastics products,C,Manufacturing
2260,"Crushing, splitting of stone",226,Other health professionals,22,Health professionals,2,Machines
2260,"Crushing, splitting of stone",226,Other health professionals,22,Health professionals,2,Professionals
2260,"Crushing, splitting of stone",226,Other health professionals,22,"Machinery used for processing material, such as …",2,Machines
2260,"Crushing, splitting of stone",226,Other health professionals,22,"Machinery used for processing material, such as …",2,Professionals
2260,"Crushing, splitting of stone",226,"Crushing, splitting of stone",22,Manufacture of rubber and plastics products,C,Manufacturing
2260,"Crushing, splitting of stone",226,"Crushing, splitting of stone",22,Health professionals,2,Machines
2260,"Crushing, splitting of stone",226,"Crushing, splitting of stone",22,Health professionals,2,Professionals
2260,"Crushing, splitting of stone",226,"Crushing, splitting of stone",22,"Machinery used for processing material, such as …",2,Machines
2260,"Crushing, splitting of stone",226,"Crushing, splitting of stone",22,"Machinery used for processing material, such as …",2,Professionals
1230,Digging,123,Digging,12,Manufacture of tobacco products,C,Manufacturing
1230,Digging,123,Digging,12,Power-driven tools used for …,1,Managers
1230,Digging,123,Digging,12,Power-driven tools used for …,1,Tools
1230,Digging,123,Digging,12,Administrative and commercial managers,1,Managers
1230,Digging,123,Digging,12,Administrative and commercial managers,1,Tools
1130,"Digging, Shoveling",113,"Digging, Shoveling",11,Manufacture of beverages,C,Manufacturing
1130,"Digging, Shoveling",113,"Digging, Shoveling",11,"Chief executives, senior officials and legislators",1,Managers
1130,"Digging, Shoveling",113,"Digging, Shoveling",11,"Chief executives, senior officials and legislators",1,Tools
1130,"Digging, Shoveling",113,"Digging, Shoveling",11,Non-power-driven tools used for …,1,Managers
1130,"Digging, Shoveling",113,"Digging, Shoveling",11,Non-power-driven tools used for …,1,Tools
2220,Drilling,222,Drilling,22,Manufacture of rubber and plastics products,C,Manufacturing
2220,Drilling,222,Drilling,22,Health professionals,2,Machines
2220,Drilling,222,Drilling,22,Health professionals,2,Professionals
2220,Drilling,222,Drilling,22,"Machinery used for processing material, such as …",2,Machines
2220,Drilling,222,Drilling,22,"Machinery used for processing material, such as …",2,Professionals
2220,Drilling,222,Nursing and midwifery professionals,22,Manufacture of rubber and plastics products,C,Manufacturing
2220,Drilling,222,Nursing and midwifery professionals,22,Health professionals,2,Machines
2220,Drilling,222,Nursing and midwifery professionals,22,Health professionals,2,Professionals
2220,Drilling,222,Nursing and midwifery professionals,22,"Machinery used for processing material, such as …",2,Machines
2220,Drilling,222,Nursing and midwifery professionals,22,"Machinery used for processing material, such as …",2,Professionals
2220,Drilling,222,Manufacture of plastics products,22,Manufacture of rubber and plastics products,C,Manufacturing
2220,Drilling,222,Manufacture of plastics products,22,Health professionals,2,Machines
2220,Drilling,222,Manufacture of plastics products,22,Health professionals,2,Professionals
2220,Drilling,222,Manufacture of plastics products,22,"Machinery used for processing material, such as …",2,Machines
2220,Drilling,222,Manufacture of plastics products,22,"Machinery used for processing material, such as …",2,Professionals
3300,Equipment for work with electricity,330,Equipment for work with electricity,33,Business and administration associate professionals,3,Equipment
3300,Equipment for work with electricity,330,Equipment for work with electricity,33,Business and administration associate professionals,3,Technicians and associate professionals
3300,Equipment for work with electricity,330,Equipment for work with electricity,33,Repair and installation of machinery and equipment,C,Manufacturing
3300,Equipment for work with electricity,330,Equipment for work with electricity,33,Equipment for work with electricity,3,Equipment
3300,Equipment for work with electricity,330,Equipment for work with electricity,33,Equipment for work with electricity,3,Technicians and associate professionals
1170,Forming,117,Forming,11,Manufacture of beverages,C,Manufacturing
1170,Forming,117,Forming,11,"Chief executives, senior officials and legislators",1,Managers
1170,Forming,117,Forming,11,"Chief executives, senior officials and legislators",1,Tools
1170,Forming,117,Forming,11,Non-power-driven tools used for …,1,Managers
1170,Forming,117,Forming,11,Non-power-driven tools used for …,1,Tools
1140,Grinding,114,Grinding,11,Manufacture of beverages,C,Manufacturing
1140,Grinding,114,Grinding,11,"Chief executives, senior officials and legislators",1,Managers
1140,Grinding,114,Grinding,11,"Chief executives, senior officials and legislators",1,Tools
1140,Grinding,114,Grinding,11,Non-power-driven tools used for …,1,Managers
1140,Grinding,114,Grinding,11,Non-power-driven tools used for …,1,Tools
1262,Grinding,126,"Sandblasting, Grinding",12,Manufacture of tobacco products,C,Manufacturing
1262,Grinding,126,"Sandblasting, Grinding",12,Power-driven tools used for …,1,Managers
1262,Grinding,126,"Sandblasting, Grinding",12,Power-driven tools used for …,1,Tools
1262,Grinding,126,"Sandblasting, Grinding",12,Administrative and commercial managers,1,Managers
1262,Grinding,126,"Sandblasting, Grinding",12,Administrative and commercial managers,1,Tools
2900,Machinery not classified elsewhere,290,Machinery not classified elsewhere,29,Machinery not classified elsewhere,2,Machines
2900,Machinery not classified elsewhere,290,Machinery not classified elsewhere,29,Machinery not classified elsewhere,2,Professionals
2900,Machinery not classified elsewhere,290,Machinery not classified elsewhere,29,"Manufacture of motor vehicles, trailers and semi-trailers",C,Manufacturing
3900,OTHER equipment,390,Remediation activities and other waste management services,39,OTHER equipment,3,Equipment
3900,OTHER equipment,390,Remediation activities and other waste management services,39,OTHER equipment,3,Technicians and associate professionals
3900,OTHER equipment,390,Remediation activities and other waste management services,39,Remediation activities and other waste management services,E,"Water supply; sewerage, waste management and remediation activities"
3900,OTHER equipment,390,OTHER equipment,39,OTHER equipment,3,Equipment
3900,OTHER equipment,390,OTHER equipment,39,OTHER equipment,3,Technicians and associate professionals
3900,OTHER equipment,390,OTHER equipment,39,Remediation activities and other waste management services,E,"Water supply; sewerage, waste management and remediation activities"
2910,OTHER machinery used for processing materials,229,OTHER machinery used for processing materials,22,Manufacture of rubber and plastics products,C,Manufacturing
2910,OTHER machinery used for processing materials,229,OTHER machinery used for processing materials,22,Health professionals,2,Machines
2910,OTHER machinery used for processing materials,229,OTHER machinery used for processing materials,22,Health professionals,2,Professionals
2910,OTHER machinery used for processing materials,229,OTHER machinery used for processing materials,22,"Machinery used for processing material, such as …",2,Machines
2910,OTHER machinery used for processing materials,229,OTHER machinery used for processing materials,22,"Machinery used for processing material, such as …",2,Professionals
1190,OTHER non-power-driven tools,119,OTHER non-power-driven tools,11,Manufacture of beverages,C,Manufacturing
1190,OTHER non-power-driven tools,119,OTHER non-power-driven tools,11,"Chief executives, senior officials and legislators",1,Managers
1190,OTHER non-power-driven tools,119,OTHER non-power-driven tools,11,"Chief executives, senior officials and legislators",1,Tools
1190,OTHER non-power-driven tools,119,OTHER non-power-driven tools,11,Non-power-driven tools used for …,1,Managers
1190,OTHER non-power-driven tools,119,OTHER non-power-driven tools,11,Non-power-driven tools used for …,1,Tools
1189,OTHER working with garment and carpets,118,Working with textile such as garment and carpets,11,Manufacture of beverages,C,Manufacturing
1189,OTHER working with garment and carpets,118,Working with textile such as garment and carpets,11,"Chief executives, senior officials and legislators",1,Managers
1189,OTHER working with garment and carpets,118,Working with textile such as garment and carpets,11,"Chief executives, senior officials and legislators",1,Tools
1189,OTHER working with garment and carpets,118,Working with textile such as garment and carpets,11,Non-power-driven tools used for …,1,Managers
1189,OTHER working with garment and carpets,118,Working with textile such as garment and carpets,11,Non-power-driven tools used for …,1,Tools
1289,OTHER working with garment and carpets,128,Working with textile such as garment and carpets,12,Manufacture of tobacco products,C,Manufacturing
1289,OTHER working with garment and carpets,128,Working with textile such as garment and carpets,12,Power-driven tools used for …,1,Managers
1289,OTHER working with garment and carpets,128,Working with textile such as garment and carpets,12,Power-driven tools used for …,1,Tools
1289,OTHER working with garment and carpets,128,Working with textile such as garment and carpets,12,Administrative and commercial managers,1,Managers
1289,OTHER working with garment and carpets,128,Working with textile such as garment and carpets,12,Administrative and commercial managers,1,Tools
2274,OTHER working with garment and carpets,227,Working with textile such as garment and carpets,22,Manufacture of rubber and plastics products,C,Manufacturing
2274,OTHER working with garment and carpets,227,Working with textile such as garment and carpets,22,Health professionals,2,Machines
2274,OTHER working with garment and carpets,227,Working with textile such as garment and carpets,22,Health professionals,2,Professionals
2274,OTHER working with garment and carpets,227,Working with textile such as garment and carpets,22,"Machinery used for processing material, such as …",2,Machines
2274,OTHER working with garment and carpets,227,Working with textile such as garment and carpets,22,"Machinery used for processing material, such as …",2,Professionals
2100,"Ovens, furnaces, furnace burners",210,"Ovens, furnaces, furnace burners",21,Manufacture of basic pharmaceutical products and pharmaceutical preparations,C,Manufacturing
2100,"Ovens, furnaces, furnace burners",210,"Ovens, furnaces, furnace burners",21,"Ovens, furnaces, furnace burners",2,Machines
2100,"Ovens, furnaces, furnace burners",210,"Ovens, furnaces, furnace burners",21,"Ovens, furnaces, furnace burners",2,Professionals
2100,"Ovens, furnaces, furnace burners",210,"Ovens, furnaces, furnace burners",21,Science and engineering professionals,2,Machines
2100,"Ovens, furnaces, furnace burners",210,"Ovens, furnaces, furnace burners",21,Science and engineering professionals,2,Professionals
2100,"Ovens, furnaces, furnace burners",210,"Manufacture of pharmaceuticals, medicinal chemical and botanical products",21,Manufacture of basic pharmaceutical products and pharmaceutical preparations,C,Manufacturing
2100,"Ovens, furnaces, furnace burners",210,"Manufacture of pharmaceuticals, medicinal chemical and botanical products",21,"Ovens, furnaces, furnace burners",2,Machines
2100,"Ovens, furnaces, furnace burners",210,"Manufacture of pharmaceuticals, medicinal chemical and botanical products",21,"Ovens, furnaces, furnace burners",2,Professionals
2100,"Ovens, furnaces, furnace burners",210,"Manufacture of pharmaceuticals, medicinal chemical and botanical products",21,Science and engineering professionals,2,Machines
2100,"Ovens, furnaces, furnace burners",210,"Manufacture of pharmaceuticals, medicinal chemical and botanical products",21,Science and engineering professionals,2,Professionals
1242,Pressing,124,"Hammering, pressing",12,Manufacture of tobacco products,C,Manufacturing
1242,Pressing,124,"Hammering, pressing",12,Power-driven tools used for …,1,Managers
1242,Pressing,124,"Hammering, pressing",12,Power-driven tools used for …,1,Tools
1242,Pressing,124,"Hammering, pressing",12,Administrative and commercial managers,1,Managers
1242,Pressing,124,"Hammering, pressing",12,Administrative and commercial managers,1,Tools
2232,Pressing,223,Traditional and complementary medicine professionals,22,Manufacture of rubber and plastics products,C,Manufacturing
2232,Pressing,223,Traditional and complementary medicine professionals,22,Health professionals,2,Machines
2232,Pressing,223,Traditional and complementary medicine professionals,22,Health professionals,2,Professionals
2232,Pressing,223,Traditional and complementary medicine professionals,22,"Machinery used for processing material, such as …",2,Machines
2232,Pressing,223,Traditional and complementary medicine professionals,22,"Machinery used for processing material, such as …",2,Professionals
2232,Pressing,223,"Hammering, Pressing",22,Manufacture of rubber and plastics products,C,Manufacturing
2232,Pressing,223,"Hammering, Pressing",22,Health professionals,2,Machines
2232,Pressing,223,"Hammering, Pressing",22,Health professionals,2,Professionals
2232,Pressing,223,"Hammering, Pressing",22,"Machinery used for processing material, such as …",2,Machines
2232,Pressing,223,"Hammering, Pressing",22,"Machinery used for processing material, such as …",2,Professionals
2251,Sandblasting,225,Veterinarians,22,Manufacture of rubber and plastics products,C,Manufacturing
2251,Sandblasting,225,Veterinarians,22,Health professionals,2,Machines
2251,Sandblasting,225,Veterinarians,22,Health professionals,2,Professionals
2251,Sandblasting,225,Veterinarians,22,"Machinery used for processing material, such as …",2,Machines
2251,Sandblasting,225,Veterinarians,22,"Machinery used for processing material, such as …",2,Professionals
2251,Sandblasting,225,"Sandblasting, Grinding",22,Manufacture of rubber and plastics products,C,Manufacturing
2251,Sandblasting,225,"Sandblasting, Grinding",22,Health professionals,2,Machines
2251,Sandblasting,225,"Sandblasting, Grinding",22,Health professionals,2,Professionals
2251,Sandblasting,225,"Sandblasting, Grinding",22,"Machinery used for processing material, such as …",2,Machines
2251,Sandblasting,225,"Sandblasting, Grinding",22,"Machinery used for processing material, such as …",2,Professionals
2210,"Sawing, cutting",221,Medical doctors,22,Manufacture of rubber and plastics products,C,Manufacturing
2210,"Sawing, cutting",221,Medical doctors,22,Health professionals,2,Machines
2210,"Sawing, cutting",221,Medical doctors,22,Health professionals,2,Professionals
2210,"Sawing, cutting",221,Medical doctors,22,"Machinery used for processing material, such as …",2,Machines
2210,"Sawing, cutting",221,Medical doctors,22,"Machinery used for processing material, such as …",2,Professionals
2210,"Sawing, cutting",221,Manufacture of rubber products,22,Manufacture of rubber and plastics products,C,Manufacturing
2210,"Sawing, cutting",221,Manufacture of rubber products,22,Health professionals,2,Machines
2210,"Sawing, cutting",221,Manufacture of rubber products,22,Health professionals,2,Professionals
2210,"Sawing, cutting",221,Manufacture of rubber products,22,"Machinery used for processing material, such as …",2,Machines
2210,"Sawing, cutting",221,Manufacture of rubber products,22,"Machinery used for processing material, such as …",2,Professionals
2210,"Sawing, cutting",221,"Sawing, cutting",22,Manufacture of rubber and plastics products,C,Manufacturing
2210,"Sawing, cutting",221,"Sawing, cutting",22,Health professionals,2,Machines
2210,"Sawing, cutting",221,"Sawing, cutting",22,Health professionals,2,Professionals
2210,"Sawing, cutting",221,"Sawing, cutting",22,"Machinery used for processing material, such as …",2,Machines
2210,"Sawing, cutting",221,"Sawing, cutting",22,"Machinery used for processing material, such as …",2,Professionals
1182,"Stitching, embroidering",118,Working with textile such as garment and carpets,11,Manufacture of beverages,C,Manufacturing
1182,"Stitching, embroidering",118,Working with textile such as garment and carpets,11,"Chief executives, senior officials and legislators",1,Managers
1182,"Stitching, embroidering",118,Working with textile such as garment and carpets,11,"Chief executives, senior officials and legislators",1,Tools
1182,"Stitching, embroidering",118,Working with textile such as garment and carpets,11,Non-power-driven tools used for …,1,Managers
1182,"Stitching, embroidering",118,Working with textile such as garment and carpets,11,Non-power-driven tools used for …,1,Tools
1282,"Stitching, embroidering",128,Working with textile such as garment and carpets,12,Manufacture of tobacco products,C,Manufacturing
1282,"Stitching, embroidering",128,Working with textile such as garment and carpets,12,Power-driven tools used for …,1,Managers
1282,"Stitching, embroidering",128,Working with textile such as garment and carpets,12,Power-driven tools used for …,1,Tools
1282,"Stitching, embroidering",128,Working with textile such as garment and carpets,12,Administrative and commercial managers,1,Managers
1282,"Stitching, embroidering",128,Working with textile such as garment and carpets,12,Administrative and commercial managers,1,Tools
2272,"Stitching, embroidering",227,Working with textile such as garment and carpets,22,Manufacture of rubber and plastics products,C,Manufacturing
2272,"Stitching, embroidering",227,Working with textile such as garment and carpets,22,Health professionals,2,Machines
2272,"Stitching, embroidering",227,Working with textile such as garment and carpets,22,Health professionals,2,Professionals
2272,"Stitching, embroidering",227,Working with textile such as garment and carpets,22,"Machinery used for processing material, such as …",2,Machines
2272,"Stitching, embroidering",227,Working with textile such as garment and carpets,22,"Machinery used for processing material, such as …",2,Professionals
2321,Transportation of passengers,232,Vocational education teachers,23,Manufacture of other non-metallic mineral products,C,Manufacturing
2321,Transportation of passengers,232,Vocational education teachers,23,Teaching professionals,2,Machines
2321,Transportation of passengers,232,Vocational education teachers,23,Teaching professionals,2,Professionals
2321,Transportation of passengers,232,Vocational education teachers,23,Vehicles used for …,2,Machines
2321,Transportation of passengers,232,Vocational education teachers,23,Vehicles used for …,2,Professionals
2321,Transportation of passengers,232,"Transportation of passengers and goods (cars, busses)",23,Manufacture of other non-metallic mineral products,C,Manufacturing
2321,Transportation of passengers,232,"Transportation of passengers and goods (cars, busses)",23,Teaching professionals,2,Machines
2321,Transportation of passengers,232,"Transportation of passengers and goods (cars, busses)",23,Teaching professionals,2,Professionals
2321,Transportation of passengers,232,"Transportation of passengers and goods (cars, busses)",23,Vehicles used for …,2,Machines
2321,Transportation of passengers,232,"Transportation of passengers and goods (cars, busses)",23,Vehicles used for …,2,Professionals
6920,"Accounting, book keeping and auditing activities; tax consultancy",692,"Accounting, book keeping and auditing activities; tax consultancy",69,Legal and accounting activities,M,"Professional, scientific and technical activities"
9321,Activities of amusement parks and theme parks,932,Other amusement and recreation activities,93,Sports activities and amusement  and recreation activities,R,"Arts, entertainment and recreation"
9321,Activities of amusement parks and theme parks,932,Other amusement and recreation activities,93,"Labourers in mining, construction, manufacturing and transport",9,Elementary occupations
9321,Activities of amusement parks and theme parks,932,Manufacturing labourers,93,Sports activities and amusement  and recreation activities,R,"Arts, entertainment and recreation"
9321,Activities of amusement parks and theme parks,932,Manufacturing labourers,93,"Labourers in mining, construction, manufacturing and transport",9,Elementary occupations
9411,Activities of business and employers membership organizations,941,"Activities of business, employers and professional membership organizations",94,Food preparation assistants,9,Elementary occupations
9411,Activities of business and employers membership organizations,941,"Activities of business, employers and professional membership organizations",94,Activities of membership organizations,S,Other service activities
9411,Activities of business and employers membership organizations,941,Food preparation assistants,94,Food preparation assistants,9,Elementary occupations
9411,Activities of business and employers membership organizations,941,Food preparation assistants,94,Activities of membership organizations,S,Other service activities
8220,Activities of call centres,822,Activities of call centres,82,"Office administrative, office support and other business support activities",N,Administrative and support service activities
8220,Activities of call centres,822,Activities of call centres,82,Assemblers,8,"Plant and machine operators, and assemblers"
8291,Activities of collection agencies and credit bureaus,829,Business support service activities n.e.c.,82,"Office administrative, office support and other business support activities",N,Administrative and support service activities
8291,Activities of collection agencies and credit bureaus,829,Business support service activities n.e.c.,82,Assemblers,8,"Plant and machine operators, and assemblers"
6622,Activities of insurance agents and brokers,662,Activities auxiliary to insurance and pension funding,66,Activities auxiliary to financial service and insurance activities,k,Financial and insurance activities
9499,Activities of other membership organizations n.e.c.,949,Activities of other membership organizations,94,Food preparation assistants,9,Elementary occupations
9499,Activities of other membership organizations n.e.c.,949,Activities of other membership organizations,94,Activities of membership organizations,S,Other service activities
9491,Activities of religious organizations,949,Activities of other membership organizations,94,Food preparation assistants,9,Elementary occupations
9491,Activities of religious organizations,949,Activities of other membership organizations,94,Activities of membership organizations,S,Other service activities
6611,Administration of financial markets,661,"Activities auxiliary to financial service  activities, except insurance and Pension funding",66,Activities auxiliary to financial service and insurance activities,k,Financial and insurance activities
7310,Advertising,731,Handicraft workers,73,Advertising and market research,M,"Professional, scientific and technical activities"
7310,Advertising,731,Handicraft workers,73,Handicraft and printing workers,7,Craft and related trades workers
7310,Advertising,731,Advertising,73,Advertising and market research,M,"Professional, scientific and technical activities"
7310,Advertising,731,Advertising,73,Handicraft and printing workers,7,Craft and related trades workers
7110,Architectural and engineering activities and related technical consultancy,711,Building frame and related trades workers,71,Architectural and engineering activities; technical testing and analysis,M,"Professional, scientific and technical activities"
7110,Architectural and engineering activities and related technical consultancy,711,Building frame and related trades workers,71,"Building and related trades workers, excluding electricians",7,Craft and related trades workers
7110,Architectural and engineering activities and related technical consultancy,711,Architectural and engineering activities and related technical consultancy,71,Architectural and engineering activities; technical testing and analysis,M,"Professional, scientific and technical activities"
7110,Architectural and engineering activities and related technical consultancy,711,Architectural and engineering activities and related technical consultancy,71,"Building and related trades workers, excluding electricians",7,Craft and related trades workers
5811,Book publishing,581,"Publishing ofbooks, periodicals and other publishing activities",58,Publishing activities,J,Information and communication
3012,Building of pleasure and sporting boats,301,Building of ships and boats,30,Manufacture of other transport equipment,C,Manufacturing
5520,"Camping grounds, recreational vehicle parks and  trailer parks",552,"Camping grounds, recreational vehicle parks and  trailer parks",55,Accommodation,"I ",Accommodation and food service activities
2432,Casting of non-ferrous metals,243,"Sales, marketing and public relations professionals",24,Manufacture of basic metals,C,Manufacturing
2432,Casting of non-ferrous metals,243,"Sales, marketing and public relations professionals",24,Business and administration professionals,2,Machines
2432,Casting of non-ferrous metals,243,"Sales, marketing and public relations professionals",24,Business and administration professionals,2,Professionals
2432,Casting of non-ferrous metals,243,Casting of metals,24,Manufacture of basic metals,C,Manufacturing
2432,Casting of non-ferrous metals,243,Casting of metals,24,Business and administration professionals,2,Machines
2432,Casting of non-ferrous metals,243,Casting of metals,24,Business and administration professionals,2,Professionals
3812,Collection of hazardous waste,381,Waste collection,38,"Waste collection, treatment and disposal activities; materials recovery",E,"Water supply; sewerage, waste management and remediation activities"
8211,Combined officea dministrative service activities,821,Office administrative and support activities,82,"Office administrative, office support and other business support activities",N,Administrative and support service activities
8211,Combined officea dministrative service activities,821,Office administrative and support activities,82,Assemblers,8,"Plant and machine operators, and assemblers"
8211,Combined officea dministrative service activities,821,Assemblers,82,"Office administrative, office support and other business support activities",N,Administrative and support service activities
8211,Combined officea dministrative service activities,821,Assemblers,82,Assemblers,8,"Plant and machine operators, and assemblers"
6201,Computer programming activities,620,"Computer programming, consultancy and related activities",62,"Computer programming, consultancy and related activities",J,Information and communication
6201,Computer programming activities,620,"Computer programming, consultancy and related activities",62,"Market-oriented skilled forestry, fishery and hunting workers",6,"Skilled agricultural, forestry and fishery workers"
4100,Construction of buildings,410,Construction of buildings,41,Construction of buildings,F,Construction
4100,Construction of buildings,410,Construction of buildings,41,General and keyboard clerks,4,Clerical support workers
5320,Courier activities,532,Personal care workers in health services,53,Postal and courier activities,"H ",Transportation and storage
5320,Courier activities,532,Personal care workers in health services,53,Personal care workers,5,Service and sales workers
5320,Courier activities,532,Courier activities,53,Postal and courier activities,"H ",Transportation and storage
5320,Courier activities,532,Courier activities,53,Personal care workers,5,Service and sales workers
6311,"Data processing, hosting and related activities",631,Subsistence crop farmers,63,"Subsistence farmers, fishers, hunters and gatherers",6,"Skilled agricultural, forestry and fishery workers"
6311,"Data processing, hosting and related activities",631,Subsistence crop farmers,63,Information service activities,J,Information and communication
6311,"Data processing, hosting and related activities",631,"Data processing, hosting and related activities; webportals",63,"Subsistence farmers, fishers, hunters and gatherers",6,"Skilled agricultural, forestry and fishery workers"
6311,"Data processing, hosting and related activities",631,"Data processing, hosting and related activities; webportals",63,Information service activities,J,Information and communication
3510,"Electric power generation, transmission and distribution",351,Information and communications technology operations and user support technicians,35,Information and communications technicians,3,Equipment
3510,"Electric power generation, transmission and distribution",351,Information and communications technology operations and user support technicians,35,Information and communications technicians,3,Technicians and associate professionals
3510,"Electric power generation, transmission and distribution",351,Information and communications technology operations and user support technicians,35,"Electricity, gas, steam and air conditioning supply",D,"Electricity, gas, steam and air conditioning supply"
3510,"Electric power generation, transmission and distribution",351,"Electric power generation, transmission and distribution",35,Information and communications technicians,3,Equipment
3510,"Electric power generation, transmission and distribution",351,"Electric power generation, transmission and distribution",35,Information and communications technicians,3,Technicians and associate professionals
3510,"Electric power generation, transmission and distribution",351,"Electric power generation, transmission and distribution",35,"Electricity, gas, steam and air conditioning supply",D,"Electricity, gas, steam and air conditioning supply"
0164,Seed processing for propagation,016,Support activities to agriculture and post-harvest crop activities,01,"Crop and animal production, hunting and related service activities",A,"Agriculture, forestry and fishing"
0170,"Hunting, trapping and related service activities",017,"Hunting, trapping and related service activities",01,"Crop and animal production, hunting and related service activities",A,"Agriculture, forestry and fishing"
1313,Finishing of textiles,131,"Spinning, weaving and finishing of textiles",13,Manufacture of textiles,C,Manufacturing
1313,Finishing of textiles,131,"Spinning, weaving and finishing of textiles",13,Production and specialised services managers,1,Managers
1313,Finishing of textiles,131,"Spinning, weaving and finishing of textiles",13,Production and specialised services managers,1,Tools
